hospital_name,hospital_subname,clinic_name,clinic_no,dr_name,is_close,light_no_show,light_no_time,am_pm,timestamp,remark1,remark2,remark3
NTUH,總院區,口腔顎面外科_O2,01 診,楊方瑜,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,口腔顎面外科_O2,03 診,住院醫師,1,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,口腔顎面外科_O2,04 診,住院醫師,0,,--:--,上午,2017-11-24 13:46:01.295378,,,
NTUH,總院區,口腔顎面外科_O1,05 診,郭生興,1,,12:27,上午,2017-11-24 13:46:01.295378,05;,,
NTUH,總院區,口腔顎面外科_O2,07 診,陳信銘,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,補綴_O2,12 診,蕭裕源,1,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,醫師約診_O2,14 診,張玉芳,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,普通門診_O1,20 診,李明澍,0,3,13:35,上午,2017-11-24 13:46:01.295378,05;,,
NTUH,總院區,普通門診_O1,21 診,張博鈞,0,,12:39,上午,2017-11-24 13:46:01.295378,05;,,
NTUH,總院區,普通門診_O1,22 診,曾琬瑜,0,1,13:34,上午,2017-11-24 13:46:01.295378,05;,,
NTUH,總院區,醫師約診_O2,23 診,林思洸,1,,--:--,上午,2017-11-24 13:46:01.295378,03;05;,,
NTUH,總院區,醫師約診_O2,24 診,曾琬瑜,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,醫師約診_O2,25 診,林思洸,1,,--:--,上午,2017-11-24 13:46:01.295378,03;05;,,
NTUH,總院區,醫師約診_O2,26 診,張博鈞,0,,--:--,上午,2017-11-24 13:46:01.295378,05;,,
NTUH,總院區,醫師約診_O2,27 診,李明澍,0,,--:--,上午,2017-11-24 13:46:01.295378,03;05;,,
NTUH,總院區,牙周病_O2,28 診,張博鈞,0,,--:--,上午,2017-11-24 13:46:01.295378,03;04;05;,,
NTUH,總院區,牙體復形_O2,31 診,曾琬瑜,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,牙髓病治療_O2,36 診,林思洸,1,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,補綴_O2,44 診,李明澍,0,,--:--,上午,2017-11-24 13:46:01.295378,05;,,
NTUH,總院區,補綴_O2,46 診,胡家源,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,牙周病_O2,51 診,張博鈞,0,,--:--,上午,2017-11-24 13:46:01.295378,,,
NTUH,總院區,齒顎矯正自費門診_O1,59 診,陳羿貞,1,,--:--,上午,2017-11-24 13:46:01.295378,04;05;,,
NTUH,總院區,齒列矯正_O2,61 診,陳羿貞,1,,--:--,上午,2017-11-24 13:46:01.295378,,,
NTUH,總院區,特別門診_O2,72 診,江俊斌,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,特別門診_O2,73 診,陳信銘,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,特別門診_O2,74 診,王若松,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,特別門診_O2,75 診,林立德,0,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
NTUH,總院區,特別門診_O2,76 診,陳韻之,1,,--:--,上午,2017-11-24 13:46:01.295378,03;,,
