clinic_name,clinic_no,dr_name,is_close,light_no_show,light_no_time,remark1,timestamp
口腔顎面外科_O2,01 診,江俊斌,0,5,09:04,03;,2018-01-31 09:12:34.284930
口腔顎面外科_O2,03 診,住院醫師,0,,--:--,03;,2018-01-31 09:12:34.284930
口腔顎面外科_O2,04 診,住院醫師,0,,--:--,,2018-01-31 09:12:34.284930
口腔顎面外科_O1,06 診,李正喆,0,2,09:08,05;,2018-01-31 09:12:34.284930
口腔顎面外科_O2,07 診,陳信銘,0,,--:--,03;,2018-01-31 09:12:34.284930
口腔顎面外科_O2,11 診,郭英雄,0,2,09:12,03;05;,2018-01-31 09:12:34.284930
補綴_O2,12 診,陳韻之,0,,08:55,03;,2018-01-31 09:12:34.284930
普通門診_O1,20 診,王振穎,0,,--:--,05;,2018-01-31 09:12:34.284930
普通門診_O1,21 診,李伯訓,0,3,09:08,05;,2018-01-31 09:12:34.284930
普通門診_O1,22 診,李苑玲,0,5,09:11,05;,2018-01-31 09:12:34.284930
醫師約診_O2,23 診,陳容慈,0,,--:--,03;05;,2018-01-31 09:12:34.284930
醫師約診_O2,24 診,李伯訓,0,,--:--,03;,2018-01-31 09:12:34.284930
醫師約診_O2,25 診,李苑玲,0,,--:--,03;,2018-01-31 09:12:34.284930
醫師約診_O2,26 診,王振穎,0,,--:--,03;05;,2018-01-31 09:12:34.284930
醫師約診_O2,27 診,胡家源,0,,--:--,03;05;,2018-01-31 09:12:34.284930
牙周病_O2,28 診,王振穎,0,,--:--,03;04;,2018-01-31 09:12:34.284930
牙體復形_O2,32 診,李伯訓,0,,--:--,03;,2018-01-31 09:12:34.284930
牙髓病治療_O2,38 診,李苑玲,0,,--:--,03;,2018-01-31 09:12:34.284930
補綴_O2,44 診,胡家源,0,,--:--,03;,2018-01-31 09:12:34.284930
補綴_O2,47 診,徐幼群,0,,--:--,03;,2018-01-31 09:12:34.284930
牙周病_O2,52 診,侯連團,0,,--:--,,2018-01-31 09:12:34.284930
牙周病_O2,54 診,王振穎,0,,--:--,03;,2018-01-31 09:12:34.284930
齒顎矯正自費門診_O1,59 診,陳羿貞,0,,--:--,04;05;,2018-01-31 09:12:34.284930
齒列矯正_O2,61 診,陳羿貞,0,,--:--,,2018-01-31 09:12:34.284930
齒列矯正_O2,63 診,賴向華,0,,--:--,03;05;,2018-01-31 09:12:34.284930
醫師約診_O2,72 診,林思洸,0,,--:--,03;,2018-01-31 09:12:34.284930
特別門診_O2,73 診,陳敏慧,0,,--:--,03;,2018-01-31 09:12:34.284930
特別門診_O2,74 診,王若松,0,,--:--,03;,2018-01-31 09:12:34.284930
特別門診_O2,75 診,林立德,0,,--:--,03;,2018-01-31 09:12:34.284930
醫師約診_O2,76 診,林俊彬,0,,--:--,03;,2018-01-31 09:12:34.284930
