hospital_name,hospital_subname,clinic_name,clinic_no,dr_name,is_close,light_no_show,light_no_time,am_pm,timestamp,remark1,remark2,remark3
NTUH,總院區,呼吸系_O2,01 診,吳惠東,0,2,14:07,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,呼吸系_O2,02 診,陸坤泰,0,6,14:02,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,血液病_O2,03 診,蔡偉,0,3,14:00,下午,2018-01-31 14:08:16.765503,03;,,
NTUH,總院區,呼吸系_O2,04 診,余忠仁,0,3,14:03,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,檢查門診_O4,05 診,陳定信,0,,--:--,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,消化系_O2,06 診,王正一,0,1,13:58,下午,2018-01-31 14:08:16.765503,03;,,
NTUH,總院區,檢查門診_O4,07 診,戴東原,0,12,14:03,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,腎臟科教學診_O5,09 診,林水龍,0,8,14:08,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,風濕病/關節炎_O2,10 診,李光倫,0,10,13:59,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,風濕病/關節炎_O2,11 診,陳茂源,0,5,14:01,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,消化系_O1,12 診,李宜家,0,10,14:06,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,消化系_O1,13 診,邱瀚模,0,6,14:02,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,心臟血管_O2,14 診,黃博昭,0,6,13:55,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,心臟衰竭_O1,15 診,黃惠君,0,12,14:07,下午,2018-01-31 14:08:16.765503,03;,,
NTUH,總院區,普通門診_O1,16 診,朱景祺,0,6,14:04,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,血液病_O1,17 診,黃泰中,0,13,13:58,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,腎及高血壓_O2,18 診,楊紹佑,0,9,14:05,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,新陳代謝_O2,19 診,張恬君,0,2,13:58,下午,2018-01-31 14:08:16.765503,03;,,
NTUH,總院區,呼吸系_O1,20 診,何肇基,0,7,14:06,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,醫師約診_O2,21 診,黃瑞雄,0,5,14:04,下午,2018-01-31 14:08:16.765503,03;,,
NTUH,總院區,心臟血管_O1,22 診,陳盈憲,0,19,14:07,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,消化系_O2,23 診,魏淑鉁,0,9,14:04,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,心臟血管_O1,24 診,黃慶昌,0,5,14:06,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,醫師約診_O2,25 診,姜至剛,0,6,14:04,下午,2018-01-31 14:08:16.765503,03;,,
NTUH,總院區,心臟血管_O2,26 診,趙嘉倫,0,5,14:08,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,心臟衰竭_O2,27 診,何奕倫,0,12,14:03,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,消化系_O1,28 診,張立群,0,7,14:04,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,心臟血管_O2,29 診,陳文鍾,0,15,14:06,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,心臟血管_O1,30 診,王怡智,0,18,14:05,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,消化系_O1,31 診,,0,,--:--,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,內分泌_O2,32 診,曾芬郁,0,22,13:56,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,醫師約診_O2,33 診,陳明豐,0,,--:--,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,消化系_O2,34 診,吳明賢,0,11,14:05,下午,2018-01-31 14:08:16.765503,03;,,
NTUH,總院區,呼吸系_O2,35 診,陳冠宇,0,2,13:57,下午,2018-01-31 14:08:16.765503,03;,,
NTUH,總院區,醫師約診_O2,36 診,嚴崇仁,0,4,13:41,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,內分泌_O1,38 診,吳婉禎,0,8,14:07,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,血液病教學診_O5,40 診,洪聖祐,0,1,13:52,下午,2018-01-31 14:08:16.765503,05;,,
NTUH,總院區,腎臟科教學診_O5,42 診,林妤芳,0,,13:27,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,內分泌_O2,45 診,汪宜靜,0,,--:--,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,醫師約診_O2,46 診,熊育敏,0,,--:--,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,醫師約診_O2,95 診,主治醫師,0,,--:--,下午,2018-01-31 14:08:16.765503,,,
NTUH,總院區,感染症_O2,98 診,主治醫師,0,,--:--,下午,2018-01-31 14:08:16.765503,,,
